0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	55	0	0
0	55	0	0
0	55	0	0
0	55	0	0
0	55	0	0
0	55	0	0
0	55	0	0
0	55	0	0
55	60	52	48
55	60	52	48
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
55	60	52	48
55	60	52	48
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
55	60	52	48
55	60	52	48
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
59	62	53	48
59	62	53	48
0	62	0	0
0	62	0	0
0	62	0	0
0	62	0	0
0	64	0	0
0	64	0	0
60	60	52	48
60	60	52	48
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
55	0	52	48
55	0	52	48
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
52	0	48	48
52	0	48	48
0	0	0	0
0	0	0	0
0	55	0	0
0	55	0	0
0	55	0	0
0	55	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	64	0	0
0	64	0	0
0	64	0	0
0	64	0	0
0	67	0	0
0	67	0	0
0	67	0	0
0	67	0	0
0	67	0	0
0	67	0	0
0	67	0	0
0	67	0	0
55	67	52	48
55	67	52	48
0	67	0	0
0	67	0	0
0	67	0	0
0	67	0	0
0	67	0	0
0	67	0	0
60	67	57	48
60	67	57	48
0	67	0	0
0	67	0	0
0	66	0	0
0	66	0	0
0	66	0	0
0	66	0	0
62	65	59	48
62	65	59	48
0	65	0	0
0	65	0	0
0	65	0	0
0	65	0	0
0	67	0	0
0	67	0	0
64	64	60	48
64	64	60	48
0	64	0	0
0	64	0	0
0	64	0	0
0	64	0	0
0	64	0	0
0	64	0	0
55	0	52	48
55	0	52	48
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
52	0	48	48
52	0	48	48
0	0	0	0
0	0	0	0
0	60	0	0
0	60	0	0
0	60	0	0
0	60	0	0
